brand,category1,category2,category3,category4,price,pro_index,product
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,35,"Almond Milk, Toasted Coconut, Plastic Bottle"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,3.99,35,"Better Half Coconut Cream & Almond Milk, Unsweetened"
Vega One ,Grocery,Beverages,Sports & Nutritional,Protein & Nutritional,59.99,35,"All-in-One Nutritional Shake, French Vanilla"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.29,35,"PureAlmond All-Natural Almond Milk, Original, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,4.29,35,"Organic Soymilk, Unsweetened, Carton"
Beyond Meat ,Frozen,Meat Alternatives,Burgers,,6.99,35,The Beyond Burger
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,35,"Almond Milk, Unsweetened Vanilla, Plastic Bottle"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,2.89,35,"Almond Breeze Almond Milk, Unsweetened Vanilla, Carton"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,5.59,35,"Low-Fat Oatmilk, Carton"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,2.89,35,"Almond Breeze Almond Milk, Unsweetened Original, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.29,35,"PureAlmond All-Natural Unsweetened Almond Milk, Vanilla, Carton"
Califia Farms ,Dairy,"Milk, Plant-Based ",Other,,4.99,35,"Oatmilk, Unsweetened, Plastic Bottle"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,5.59,35,"Oatmilk, Original, Carton"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,35,"Almond Milk, Unsweetened, Plastic Bottle"
